fid,lat,long
534,6.911050,79.883165
535,6.911050,79.883165
536,6.911050,79.883165
537,6.911050,79.883165
538,6.911050,79.883165
539,6.911050,79.883165
540,6.911050,79.883165
541,6.911050,79.883165
542,6.911050,79.883165
543,6.911050,79.883165
544,6.911050,79.883165
545,6.911045,79.883180
546,6.911037,79.883197
547,6.911024,79.883220
548,6.911015,79.883251
549,6.911008,79.883286
550,6.911000,79.883320
551,6.910996,79.883366
552,6.910990,79.883414
553,6.910987,79.883459
554,6.910987,79.883500
555,6.910992,79.883539
556,6.910996,79.883594
557,6.910995,79.883662
558,6.911003,79.883754
559,6.911018,79.883849
560,6.911026,79.883949
561,6.911031,79.884051
562,6.911034,79.884152
563,6.911031,79.884253
564,6.911029,79.884357
565,6.911028,79.884468
566,6.911032,79.884572
567,6.911036,79.884680
568,6.911034,79.884780
569,6.911034,79.884875
570,6.911037,79.884977
571,6.911039,79.885076
572,6.911039,79.885173
573,6.911036,79.885268
574,6.911033,79.885368
575,6.911031,79.885471
576,6.911031,79.885577
577,6.911031,79.885681
578,6.911031,79.885782
579,6.911037,79.885880
580,6.911037,79.885980
581,6.911036,79.886079
582,6.911030,79.886181
583,6.911025,79.886286
584,6.911016,79.886395
585,6.911009,79.886498
586,6.910999,79.886603
587,6.910992,79.886706
588,6.910988,79.886802
589,6.910984,79.886899
590,6.910977,79.886993
591,6.910973,79.887083
592,6.910966,79.887172
593,6.910959,79.887251
594,6.910950,79.887316
595,6.910948,79.887371
596,6.910943,79.887412
597,6.910939,79.887436
598,6.910936,79.887451
599,6.910935,79.887451
600,6.910931,79.887449
601,6.910930,79.887445
602,6.910930,79.887440
603,6.910930,79.887440
604,6.910930,79.887440
605,6.910930,79.887440
606,6.910930,79.887440
607,6.910930,79.887440
608,6.910930,79.887440
609,6.910930,79.887440
610,6.910930,79.887440
611,6.910930,79.887440
612,6.910930,79.887440
613,6.910930,79.887440
614,6.910930,79.887440
615,6.910930,79.887440
616,6.910930,79.887440
617,6.910930,79.887440
618,6.910930,79.887440
619,6.910930,79.887440
620,6.910930,79.887440
621,6.910930,79.887440
622,6.910930,79.887440
623,6.910930,79.887440
624,6.910930,79.887440
625,6.910930,79.887440
626,6.910930,79.887440
627,6.910930,79.887440
628,6.910930,79.887440
629,6.910930,79.887440
630,6.910930,79.887440
631,6.910930,79.887440
632,6.910930,79.887440
633,6.910930,79.887440
634,6.910930,79.887440
635,6.910930,79.887440
636,6.910930,79.887440
637,6.910930,79.887440
638,6.910930,79.887440
639,6.910930,79.887440
640,6.910930,79.887440
641,6.910930,79.887440
642,6.910930,79.887440
643,6.910930,79.887440
644,6.910930,79.887440
645,6.910930,79.887440
646,6.910930,79.887440
647,6.910930,79.887440
648,6.910930,79.887440
649,6.910930,79.887440
650,6.910930,79.887440
651,6.910930,79.887440
652,6.910930,79.887440
653,6.910930,79.887440
654,6.910930,79.887440
655,6.910930,79.887440
656,6.910930,79.887440
657,6.910930,79.887440
658,6.910930,79.887440
659,6.910930,79.887440
660,6.910930,79.887440
661,6.910930,79.887440
662,6.910930,79.887440
663,6.910930,79.887440
664,6.910930,79.887440
665,6.910930,79.887440
666,6.910916,79.887418
667,6.910915,79.887412
668,6.910913,79.887405
669,6.910913,79.887399
670,6.910913,79.887399
671,6.910913,79.887399
672,6.910918,79.887388
673,6.910920,79.887383
674,6.910926,79.887383
675,6.910927,79.887379
676,6.910927,79.887379
677,6.910927,79.887379
678,6.910924,79.887367
679,6.910928,79.887360
680,6.910934,79.887354
681,6.910935,79.887353
682,6.910935,79.887353
683,6.910935,79.887353
684,6.910935,79.887353
685,6.910935,79.887353
686,6.910935,79.887353
687,6.910935,79.887353
688,6.910935,79.887353
689,6.910935,79.887353
690,6.910935,79.887353
691,6.910935,79.887353
692,6.910935,79.887353
693,6.910935,79.887353
694,6.910935,79.887353
695,6.910935,79.887353
